nr_pos,data,url,liczba_glos,kadencja
86,11 września 2019 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1749,88,8
86,16 października 2019 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1753,38,8
85,31 lipca 2019 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1746,24,8
85,9 sierpnia 2019 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1747,11,8
85,30 sierpnia 2019 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1748,38,8
84,17 lipca 2019 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1743,7,8
84,19 lipca 2019 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1745,169,8
83,3 lipca 2019 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1740,7,8
83,4 lipca 2019 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1741,111,8
82,12 czerwca 2019 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1737,6,8
82,13 czerwca 2019 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1738,126,8
81,15 maja 2019 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1734,6,8
81,16 maja 2019 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1735,92,8
80,12 kwietnia 2019 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1731,26,8
80,25 kwietnia 2019 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1732,54,8
79,3 kwietnia 2019 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1728,1,8
79,4 kwietnia 2019 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1729,49,8
78,14 marca 2019 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1726,2,8
78,15 marca 2019 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1727,68,8
77,30 stycznia 2019 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1718,33,8
77,20 lutego 2019 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1721,21,8
77,21 lutego 2019 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1722,112,8
76,16 stycznia 2019 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1715,440,8
76,17 stycznia 2019 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1716,22,8
75,28 grudnia 2018 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1714,15,8
74,12 grudnia 2018 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1707,3,8
74,14 grudnia 2018 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1710,66,8
73,5 grudnia 2018 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1704,5,8
73,6 grudnia 2018 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1705,50,8
72,21 listopada 2018 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1701,13,8
72,22 listopada 2018 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1702,38,8
72,23 listopada 2018 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1703,6,8
71,7 listopada 2018 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1698,5,8
71,9 listopada 2018 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1700,135,8
70,23 października 2018 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1696,58,8
69,2 października 2018 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1693,8,8
69,3 października 2018 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1694,4,8
69,4 października 2018 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1695,75,8
68,12 września 2018 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1687,4,8
68,13 września 2018 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1691,31,8
67,18 lipca 2018 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1684,3,8
67,19 lipca 2018 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1685,9,8
67,20 lipca 2018 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1686,188,8
66,3 lipca 2018 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1680,162,8
66,5 lipca 2018 r.,https://www.sejm.gov.pl/Sejm8.nsf/agent.xsp?symbol=listaglos&IdDnia=1682,150,8
